,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate
101,279,87.73584905660377,318,12,300,6,0,0.03773584905660377,0.6365527348813131,0.5914651988484292,0.47545023664773306,0.3806009428084893,1.136428139880822,4.056603773584905,10.0,0.3229790927126015,0.572043702768491,0.39211518107305987,0.7222222222222222,0.4141904493427258,0.0026538543483975072,6,6,3,3,0,0.0
102,286,89.937106918239,318,6,307,5,0,0.018867924528301886,0.6393212975976766,0.5933348564685176,0.4753658376193556,0.3752627811934925,1.1261426036338662,4.056603773584905,10.0,0.32642799238557063,0.5525555771868839,0.3939034483799638,0.7272727272727273,0.42633206103443455,0.0015923845429855427,4,2,2,3,0,0.0
103,286,89.937106918239,318,8,304,6,0,0.025157232704402517,0.6356982687047467,0.5898019492902215,0.4750048146512167,0.3763497981081841,1.1262495260688592,4.056603773584905,10.0,0.32584340701308534,0.5637423178154922,0.39319962811521275,0.7142857142857143,0.42771626625453824,0.002186993043261817,5,3,2,4,0,0.0
104,285,89.62264150943396,318,10,299,8,1,0.031446540880503145,0.6352597246130132,0.5890737032781562,0.47464995658914644,0.3735695061758769,1.1053662010087244,4.056603773584905,10.0,0.32606036247669823,0.5504999073335949,0.39497356744859446,0.8421052631578947,0.44541888084384157,0.004645798739626283,4,7,1,7,0,0.0
105,284,89.30817610062893,318,7,301,8,2,0.0220125786163522,0.636857323303777,0.5900651554049348,0.47445722956731856,0.3705542824864201,1.0913220773041938,4.056603773584905,10.0,0.32334099114837067,0.6286896532068653,0.39788995174431796,0.8235294117647058,0.36778197121847045,0.004047671014170897,3,6,3,5,0,0.0
106,284,89.30817610062893,318,10,291,12,5,0.031446540880503145,0.6355015318070013,0.5919017196153231,0.47412154282360136,0.3707345144498923,1.1030493098279,4.056603773584905,10.0,0.32457081433736557,0.6198785808331085,0.39888491979219326,0.7037037037037037,0.36916710800181285,0.0015019688701411542,8,7,9,3,0,0.037037037037037035
107,280,88.0503144654088,318,12,290,9,7,0.03773584905660377,0.6369878569038181,0.5906955579473686,0.474178739081717,0.3683507087941371,1.1086315448571225,4.056603773584905,10.0,0.3271175296690676,0.6414810930306158,0.40208468351349064,0.8214285714285714,0.3522583891118592,-0.009182442525025359,11,8,3,6,0,0.10714285714285714
108,278,87.42138364779875,318,11,290,11,6,0.03459119496855346,0.6355928454839991,0.589839337434539,0.4738934224054349,0.36856770008844786,1.106507232853632,4.056603773584905,10.0,0.3283832803354989,0.5970221095274874,0.3924764779980077,0.8214285714285714,0.38227420616434976,-0.0028550952067569737,6,11,7,4,0,0.03571428571428571
109,278,87.42138364779875,318,9,293,15,1,0.02830188679245283,0.6342017798342505,0.5880576226917832,0.47345572970977545,0.3711872665697553,1.11169933162541,4.056603773584905,10.0,0.33073292653029496,0.6401404317100063,0.39879468990769446,0.88,0.35559537597569496,0.0031848717626774725,6,4,8,7,0,0.08
110,276,86.79245283018868,318,12,293,11,2,0.03773584905660377,0.6356384241075802,0.5877673323284841,0.47323710507694744,0.3703138146891718,1.0893230861228005,4.056603773584905,10.0,0.33343798608227404,0.6004576227584623,0.40187074338840467,0.8,0.37952297315384587,0.0011527170500391071,7,7,4,7,0,0.04
111,277,87.10691823899371,318,10,299,5,4,0.031446540880503145,0.635848162595807,0.5883814787079382,0.47293231187516505,0.3677330821207527,1.069315884622107,4.056603773584905,10.0,0.33532510708680086,0.612573846370585,0.3996832955001771,0.631578947368421,0.36871352959176223,-0.004607723519311283,5,9,4,1,0,0.15789473684210525
112,275,86.47798742138365,318,9,305,4,0,0.02830188679245283,0.634728659473025,0.5864444941478365,0.47260886761307974,0.3681824381018355,1.0947560467946151,4.056603773584905,10.0,0.3368773908246563,0.5957040151377819,0.3998347855625084,0.8461538461538461,0.3930079798295084,-0.0017202846436032769,4,5,1,3,0,0.07692307692307693
113,279,87.73584905660377,318,8,301,7,2,0.025157232704402517,0.635781312342041,0.5871853338672421,0.4723573087165115,0.3700559590994066,1.0941650473798987,4.056603773584905,10.0,0.3373919531773715,0.5671351643545984,0.3885306895756788,0.6470588235294118,0.4056460985294871,0.006858874287255033,4,6,1,6,0,0.0
114,284,89.30817610062893,318,2,305,11,0,0.006289308176100629,0.6380211158713444,0.5885575787364952,0.4722241794569297,0.36779875876982,1.0917509727498693,4.056603773584905,10.0,0.33978034336019003,0.5466597111082189,0.38789282538411196,0.5384615384615384,0.41887925835535544,0.0022305425036208445,1,1,5,6,0,0.0
115,285,89.62264150943396,318,11,302,3,2,0.03459119496855346,0.6428050307769572,0.593577142039087,0.47240542771807875,0.361012894677035,1.0847089690635787,4.056603773584905,10.0,0.34385827201306096,0.5711116130764357,0.38988520501116464,0.6875,0.41549044109479527,0.0008404014770007646,4,9,3,0,0,0.0
116,282,88.67924528301887,318,10,298,9,1,0.031446540880503145,0.6451266143486776,0.5973647158487384,0.4728020102600823,0.3558247408029584,1.0716663751544466,4.056603773584905,10.0,0.3450177403826735,0.5725826714784236,0.39039177687159965,0.75,0.40985695485040263,-0.000897963638223459,4,7,6,3,0,0.0
117,282,88.67924528301887,318,12,297,7,2,0.03773584905660377,0.6412491149790773,0.5949756930239881,0.47302330010432875,0.3546190151655675,1.0689489920652502,4.056603773584905,10.0,0.3459750265890347,0.6082049709172135,0.3953696093006917,0.8095238095238095,0.3807913188420657,0.001100146562542271,7,7,2,5,0,0.047619047619047616
